universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Sekolah Tinggi Manajemen Informatika dan Komputer Balikpapan;C;1049/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Bani Saleh;C;765/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-06-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika Dan Komputer Banjarbaru;C;1238/SK/BAN-PT/Akred/PT/XI/2015;2015;11;2020-12-19;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Bina Bangsa;C;418/SK/BAN-PT/Akred/PT/V/2015;2015;13;2020-05-15;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer DCI;C;291/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-18;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Dharma Negara Bandung;C;950/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-29;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Indonesia Jakarta;C;728/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Indonesia Padang;B;552/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-22;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Inti Indonesia;C;704/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-04;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K;B;223/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Jibes;C;426/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-15;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Mitra Karya;C;608/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Musi Rawas;C;247/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Palangkaraya;C;861/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-21;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Pontianak;B;272/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-18;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Pringsewu;C;299/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Pro Visi Semarang;C;0381/SK/BAN-PT/Akred/PT/V/2016;2016;6;2021-05-06;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Samarinda;C;375/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-09;Masih berlaku
Sekolah Tinggi Manajemen Informatika Dan Komputer Sentra Pendidikan Bisnis;C;260/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-18;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Sinar Nusantara;C;163/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Syaikh Zainuddin NW;C;733/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-10;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Uyelindo Kupang;C;494/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-23;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Web Informatika Teknologi;C;0041/SK/BAN-PT/Akred/PT/I/2016;2016;4;2021-01-29;Masih berlaku
Sekolah Tinggi Manajemen Informatika Dan Komputer Widya Cipta Dharma;B;518/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-12;Masih berlaku
Sekolah Tinggi Manajemen PPM;B;382/SK/BAN-PT/Akred/PT/V/2015;2015;3;2020-05-09;Masih berlaku
"Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta";B;3142/SK/BAN-PT/Akred/PT/XII/2016;2016;5;2021-12-27;Masih berlaku
Sekolah Tinggi Pariwisata Ambarrukmo;B;1023/SK/BAN-PT/Akred/PT/X/2015;2015;5;2020-10-03;Masih berlaku
Sekolah Tinggi Pariwisata AMPTA Yogyakarta;C;339/SK/BAN-PT/Akred/PT/VIII/2014;2014;5;2019-08-30;Masih berlaku
Sekolah Tinggi Pariwisata Bali Internasional, Denpasar;C;1141/SK/BAN-PT/Akred/PT/XI/2015;2015;8;2020-11-07;Masih berlaku
Sekolah Tinggi Pariwisata Satya Widya;C;327/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Sekolah Tinggi Pariwisata Triatma Jaya;C;323/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Sekolah Tinggi Pariwisata Trisakti;B;3100/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-27;Masih berlaku
Sekolah Tinggi Pembangunan Masyarakat Desa APMD;B;1649/SK/BAN-PT/Akred/PT/VIII/2016;2016;5;2021-08-26;Masih berlaku
Sekolah Tinggi Pembangunan Masyarakat Santa Ursula;C;1248/SK/BAN-PT/Akred/PT/XI/2015;2015;8;2020-12-19;Masih berlaku
Sekolah Tinggi Penyuluhan Pertanian Bogor;B;1933/SK/BAN-PT/Akred/PT/IX/2016;2016;4;2021-09-08;Masih berlaku
Sekolah Tinggi Penyuluhan Pertanian Malang;B;0064/SK/BAN-PT/Akred/PT/II/2016;2016;7;2021-02-12;Masih berlaku
Sekolah Tinggi Penyuluhan Pertanian Manokwari;B;3146/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Sekolah Tinggi Penyuluhan Pertanian Medan;B;1245/SK/BAN-PT/Akred/PT/XI/2015;2015;1;2020-12-19;Masih berlaku
Sekolah Tinggi Perikanan;B;0030/SK/BAN-PT/Akred/PT/I/2017;2017;3;2022-01-10;Masih berlaku
Sekolah Tinggi Pertanian Haji Agus Salim;C;955/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Pertanian Labuha;C;1421/SK/BAN-PT/Akred/PT/VIII/2016;2016;12;2021-08-04;Masih berlaku
Sekolah Tinggi Peyuluhan Pertanian Gowa;B;1037/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Sekolah Tinggi Teknik Dharma Iswara;C;1223/SK/BAN-PT/Akred/PT/XI/2015;2015;7;2020-12-19;Masih berlaku
Sekolah Tinggi Teknik Multimedia Cendekia Abditama;C;240/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Sekolah Tinggi Teknik Musi;C;368/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-09;Masih berlaku
Sekolah Tinggi Teknik Surabaya;B;401/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Teknologi Angkatan Laut;B;0031/SK/BAN-PT/Akred/PT/I/2017;2017;7;2022-01-10;Masih berlaku
Sekolah Tinggi Teknologi Bina Tunggal;C;1284/SK/BAN-PT/Akred/PT/XII/2015;2015;4;2020-12-29;Masih berlaku
Sekolah Tinggi Teknologi Bontang;C;1042/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Sekolah Tinggi Teknologi Cirebon;C;393/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-09;Masih berlaku
Sekolah Tinggi Teknologi Dr. KH. EZ Muttaqien, Purwakarta;C;1140/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-11-07;Masih berlaku
Sekolah Tinggi Teknologi Duta Bangsa;C;267/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-18;Masih berlaku
Sekolah Tinggi Teknologi Fatahillah Cilegon;C;300/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-18;Masih berlaku
Sekolah Tinggi Teknologi Garut;C;221/SK/BAN-PT/Akred/PT/VII/2014;2014;4;2019-07-19;Masih berlaku
Sekolah Tinggi Teknologi Ilmu Komputer Insan Unggul;C;1269/SK/BAN-PT/Akred/PT/XII/2015;2015;4;2020-12-29;Masih berlaku
Sekolah Tinggi Teknologi Industri Padang;C;882/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Sekolah Tinggi Teknologi Kedirgantaraan;B;766/SK/BAN-PT/Akred/PT/VII/2015;2015;5;2020-07-10;Masih berlaku
Sekolah Tinggi Teknologi Kelautan Balik Diwa;B;165/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Teknologi Mandala;C;604/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Sekolah Tinggi Teknologi Mitra Karya;C;399/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-15;Masih berlaku
Sekolah Tinggi Teknologi Mutu Muhammadiyah;C;952/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-29;Masih berlaku
Sekolah Tinggi Teknologi Nasional Jambi;C;435/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-15;Masih berlaku
Sekolah Tinggi Teknologi Nasional Yogyakarta;B;2665/SK/BAN-PT/Akred/PT/XI/2016;2016;5;2021-11-24;Masih berlaku
Sekolah Tinggi Teknologi Nusantara;C;977/SK/BAN-PT/Akred/PT/IX/2015;2015;2;2020-09-03;Masih berlaku
Sekolah Tinggi Teknologi Pagar Alam;C;314/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Sekolah Tinggi Teknologi Pekanbaru;C;231/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Sekolah Tinggi Teknologi Ronggolawe;C;287/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-18;Masih berlaku
Sekolah Tinggi Teologi Aletheia;C;268/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Teologi Baptis Indonesia;C;694/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Sekolah Tinggi Teologi Baptis Jakarta;C;739/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-10;Masih berlaku
Sekolah Tinggi Teologi Basom;C;1030/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-10-03;Masih berlaku
Sekolah Tinggi Teologi Berita Hidup Solo;C;3098/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Sekolah Tinggi Teologi Bethel Indonesia;C;1023/SK/BAN-PT/Akred/PT/VI/2016;2016;3;2021-06-17;Masih berlaku
Sekolah Tinggi Teologi Gereja Kalimantan Evangelis;C;745/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-10;Masih berlaku
Sekolah Tinggi Teologi Happy Family Surabaya;C;949/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Teologi Injili Indonesia Bali;C;1057/SK/BAN-PT/Akred/PT/X/2015;2015;8;2020-10-03;Masih berlaku
Sekolah Tinggi Teologi Internasional Harvest Semarang;C;703/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Sekolah Tinggi Teologi Jemaat Kristus Indonesia;C;676/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Sekolah Tinggi Teologi Kanaan Nusantara;C;1250/SK/BAN-PT/Akred/PT/XI/2015;2015;6;2020-12-19;Masih berlaku
Sekolah Tinggi Teologi Kasih Mentawai;C;1289/SK/BAN-PT/Akred/PT/XII/2015;2015;3;2020-12-29;Masih berlaku
Sekolah Tinggi Teologi Kristus Alfa Omega;C;413/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-15;Masih berlaku
Sekolah Tinggi Teologi Lighthouse Equipping Theological School;C;3159/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-27;Masih berlaku
Sekolah Tinggi Teologi Marturia;C;935/SK/BAN-PT/Akred/PT/VIII/2015;2015;1;2020-08-29;Masih berlaku
Sekolah Tinggi Teologi Pantekosta Poso;C;874/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Teologi Renatus Pematang Siantar;C;715/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-04;Masih berlaku
Sekolah Tinggi Teologi Saat Malang;B;688/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Sekolah Tinggi Teologi Sangkakala;C;719/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-10;Masih berlaku
Sekolah Tinggi Teologi Soteria Purwokerto;C;3161/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Sekolah Tinggi Teologi Tabernakel Indonesia;C;1060/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Sekolah Tinggi Theologi Filadelfia Langowan;C;1239/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Sekolah Tinggi Theologi IKAT;C;665/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-04;Masih berlaku
Sekolah Tinggi Theologi Injili Arastamar;C;1783/SK/BAN-PT/Akred/PT/IX/2016;2016;11;2021-09-02;Masih berlaku
STT Banua Niha Keriso Protestan Sundermann Nias;C;730/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-10;Masih berlaku
Universitas 17 Agustus 1945 Cirebon;B;277/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-18;Masih berlaku
Universitas 17 Agustus 1945 Surabaya;B;2986/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-20;Masih berlaku
Universitas 45 Surabaya;C;871/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Universitas Abdurachman Saleh;B;761/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Universitas Abdurrab;C;475/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-23;Masih berlaku
Universitas Ahmad Dahlan;B;566/SK/BAN-PT/Akred/PT/VI/2015;2015;5;2020-06-22;Masih berlaku
Universitas Airlangga;A;024/SK/BAN-PT/Akred/PT/I/2014;2014;7;2019-01-16;Masih berlaku
Universitas Al Ghifari;C;900/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Universitas Al Muslim;C;520/SK/BAN-PT/Akred/PT/VI/2015;2015;13;2020-06-12;Masih berlaku
Universitas Al-azhar Indonesia;B;317/SK/BAN-PT/Akred/PT/VIII/2014;2014;3;2019-08-30;Masih berlaku
Universitas Alkhairaat;C;458/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Universitas Alwashliyah;C;192/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-10;Masih berlaku
Universitas Andalas;A;039/SK/BAN-PT/Akred/PT/I/2014;2014;10;2019-01-16;Masih berlaku
Universitas Andi Djemma;C;3132/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Universitas Atma Jaya Makassar;C;3150/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Universitas Atma Jaya Yogyakarta;B;058/SK/BAN-PT/Ak-IV/PT/II/2013;2013;5;2018-02-21;Masih berlaku
Universitas Baiturrahmah;B;3147/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Bakrie;B;2672/SK/BAN-PT/Akred/PT/XI/2016;2016;3;2021-11-24;Masih berlaku
Universitas Bakti Indonesia;C;350/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Universitas Balikpapan;C;226/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Universitas Bangka Belitung;C;397/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-15;Masih berlaku
Universitas Batam;B;0386/SK/BAN-PT/Akred/PT/I/2017;2017;10;2022-01-26;Masih berlaku
Universitas Batanghari Jambi;C;180/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Universitas Baturaja;C;313/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Universitas Bengkulu;B;3129/SK/BAN-PT/Akred/PT/XII/2016;2016;2;2021-12-27;Masih berlaku
Universitas Bhayangkara;B;408/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Universitas Bhayangkara Jakarta Raya;B;668/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-04;Masih berlaku
Universitas Bina Darma;B;1419/SK/BAN-PT/Akred/PT/VIII/2016;2016;2;2021-08-04;Masih berlaku
Universitas Bina Nusantara;A;2991/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Universitas Borneo Tarakan;B;231/SK/BAN-PT/Akred/PT/VII/2014;2014;11;2019-07-19;Masih berlaku
Universitas Borobudur;C;619/SK/BAN-PT/Akred/PT/VI/2015;2015;3;2020-06-27;Masih berlaku
Universitas Bosowa Makassar;B;0585/SK/BAN-PT/Akred/PT/V/2016;2016;9;2020-05-23;Masih berlaku
Universitas Brawijaya;A;367//BAN-PT/Ak-SURV/PT/IX/2014;2014;7;2019-01-16;Masih berlaku
Universitas Bunda Mulia;B;1235/SK/BAN-PT/Akred/PT/XI/2015;2015;3;2020-12-19;Masih berlaku
Universitas Bung Hatta;B;0371/SK/BAN-PT/Akred/PT/I/2017;2017;10;2022-01-19;Masih berlaku
Universitas Cenderawasih;B;662/SK/BAN-PT/Akred/PT/VII/2015;2015;14;2020-07-04;Masih berlaku
Universitas Ciputra;B;811/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
Universitas Cokroaminoto Palopo;B;616/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Universitas Darma Persada;B;603/SK/BAN-PT/Akred/PT/VI/2015;2015;3;2020-06-27;Masih berlaku
Universitas Darul Ulum Islamic Centre Sudirman;C;3124/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Dayanu Ikhsanuddin;C;387/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Universitas Dehasen Bengkulu;C;373/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-09;Masih berlaku
Universitas Dharmawangsa;C;230/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-10;Masih berlaku
Universitas Dian Nuswantoro;B;3006/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-20;Masih berlaku
Universitas Diponegoro;A;125/SK/BAN-PT/Ak-SURV/PT/V/2013;2013;6;2018-05-24;Masih berlaku
Universitas Dirgantara Marsekal Suryadarma, Jakarta;B;0297/SK/BAN-PT/Ak-SURV/PT/IV/2016;2016;3;2020-07-10;Masih berlaku
Universitas Djuanda;B;559/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Universitas Dr Soetomo;B;2674/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
Universitas Dwijendra;C;659/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-04;Masih berlaku
Universitas Efarina;C;1035/SK/BAN-PT/Akred/PT/X/2015;2015;1;2020-10-03;Masih berlaku
Universitas Flores;B;1417/SK/BAN-PT/Akred/PT/VIII/2016;2016;8;2021-08-04;Masih berlaku
Universitas Gadjah Mada;A;068/SK/BAN-PT/Ak-IV/PT/II/2013;2013;5;2018-02-21;Masih berlaku
Universitas Gajah Putih;C;1026/SK/BAN-PT/Akred/PT/VI/2016;2016;13;2021-06-17;Masih berlaku
Universitas Gajayana;B;0037/SK/BAN-PT/Akred/PT/I/2016;2016;7;2021-01-29;Masih berlaku
Universitas Garut;B;390/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-09;Masih berlaku
Universitas Gorontalo;B;1299/SK/BAN-PT/Ak-SURV/PT/XII/2015;2015;9;2020-05-23;Masih berlaku
Universitas Gresik;C;3136/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Gunadarma;A;029/SK/BAN-PT/Akred/PT/I/2014;2014;4;2019-01-16;Masih berlaku
Universitas Gunung Rinjani;C;236/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Universitas Halu Oleo;B;803/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-07;Masih berlaku
Universitas Hang Tuah;B;2669/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
Universitas Hasanuddin;A;079/SK/BAN-PT/Ak-IV/PT/II/2013;2013;9;2018-02-21;Masih berlaku
Universitas Hindu Indonesia;C;340/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Universitas Ibn Khaldun;B;0370/SK/BAN-PT/Akred/PT/I/2017;2017;4;2022-01-19;Masih berlaku
Universitas Indonesia;A;069/SK/BAN-PT/Ak-IV/PT/II/2013;2013;3;2018-02-21;Masih berlaku
Universitas Islam 45 Bekasi;C;204/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Universitas Islam As-Syafiiyah;C;228/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Universitas Islam Balitar;C;333/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Universitas Islam Bandung;B;225/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Universitas Islam Batik;B;0066/SK/BAN-PT/Akred/PT/II/2016;2016;4;2021-02-12;Masih berlaku
Universitas Islam Darul 'Ulum;C;404/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Universitas Islam Indonesia;A;065/SK/BAN-PT/Ak-IV/PT/II/2013;2013;5;2018-02-21;Masih berlaku
Universitas Islam Indragiri;C;181/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Universitas Islam Jember;C;3167/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Islam Kadiri;C;674/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Islam Kalimantan Muhammad Arsyad Al-Banjary;B;386/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-09;Masih berlaku
Universitas Islam Lamongan;C;0029/SK/BAN-PT/Akred/PT/I/2017;2017;7;2022-01-10;Masih berlaku
Universitas Islam Madura;C;933/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Universitas Islam Majapahit Mojokerto;C;948/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Universitas Islam Makassar;B;150/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Universitas Islam Malang;B;072/SK/BAN-PT/Ak-IV/PT/II/2013;2013;7;2018-02-21;Masih berlaku
Universitas Islam Negeri Alauddin;B;328/SK/BAN-PT/Akred/PT/VIII/2014;2014;9;2019-08-30;Masih berlaku
Universitas Islam Negeri Maulana Malik Ibrahim Malang;A;032/SK/BAN-PT/Akred/PT/I/2014;2014;7;2019-01-16;Masih berlaku
Universitas Islam Negeri Raden Fatah;B;824/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-07;Masih berlaku
Universitas Islam Negeri Sulthan Syarif Kasim Riau;B;3003/SK/BAN-PT/Akred/PT/XII/2016;2016;10;2021-12-20;Masih berlaku
Universitas Islam Negeri Sunan Ampel;B;1096/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-24;Masih berlaku
Universitas Islam Negeri Sunan Gunung Djati Bandung;B;248/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Universitas Islam Negeri Sunan Kalijaga Yogyakarta;A;283/SK/BAN-PT/Akred/PT/VIII/2014;2014;5;2019-08-16;Masih berlaku
Universitas Islam Negeri Syarif Hidayatullah Jakarta;A;126/SK/BAN-PT/Ak-SURV/PT/V/2013;2013;3;2018-05-24;Masih berlaku
Universitas Islam Negeri Walisongo;B;892/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-21;Masih berlaku
Universitas Islam Ogan Komering Ilir Kayuagung;C;2663/SK/BAN-PT/Akred/PT/XI/2016;2016;2;2021-11-24;Masih berlaku
Universitas Islam Riau;B;1270/SK/BAN-PT/Akred/PT/XII/2015;2015;10;2020-12-29;Masih berlaku
Universitas Islam Sultan Agung;B;059/SK/BAN-PT/Ak-IV/PT/II/2013;2013;6;2018-02-21;Masih berlaku
Universitas Islam Sumatera Utara;B;1414/SK/BAN-PT/Akred/PT/VIII/2016;2016;1;2021-08-04;Masih berlaku
Universitas Jabal Ghafur;C;735/SK/BAN-PT/Akred/PT/VII/2015;2015;13;2020-07-10;Masih berlaku
Universitas Jambi;B;177/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Universitas Janabadra;B;669/SK/BAN-PT/Akred/PT/VII/2015;2015;5;2020-07-04;Masih berlaku
Universitas Jayabaya;B;3116/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Jember;A;710/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Jenderal Achmad Yani;B;3163/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Jenderal Soedirman;B;218/SK/BAN-PT/Akred/PT/VII/2014;2014;6;2019-07-19;Masih berlaku
Universitas Kanjuruhan;B;958/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Universitas Kapuas Sintang;C;549/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-22;Masih berlaku
Universitas Karimun;C;630/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-27;Masih berlaku
Universitas Katolik Darma Cendika;B;574/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Universitas Katolik Indonesia Atma Jaya;A;3007/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Universitas Katolik Parahyangan;B;062/SK/BAN-PT/Ak-IV/PT/II/2013;2013;4;2018-02-21;Masih berlaku
Universitas Katolik Soegijapranata;A;0384/SK/BAN-PT/Akred/PT/I/2017;2017;6;2022-01-26;Masih berlaku
Universitas Katolik Widya Karya;C;3102/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Katolik Widya Mandala Madiun;C;706/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Katolik Widya Mandala Surabaya;A;2994/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-20;Masih berlaku
Universitas Katolik Widya Mandira Kupang;B;2670/SK/BAN-PT/Akred/PT/XI/2016;2016;8;2021-11-24;Masih berlaku
Universitas Khairun;B;278/SK/BAN-PT/Akred/PT/IV/2015;2015;12;2020-04-18;Masih berlaku
