universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Akademi Manajemen Informatika dan Komputer Luwuk Banggai;C;264/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-18;Masih berlaku
Akademi Manajemen Informatika dan Komputer Serang;C;541/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Akademi Manajemen Informatika dan Komputer Sigma;C;230/SK/BAN-PT/Akred/PT/VII/2014;2014;2;2019-07-19;Masih berlaku
Akademi Manajemen Informatika dan Komputer Tri Dharma;C;813/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-07;Masih berlaku
Akademi Maritim Indonesia Aipi;C;2661/SK/BAN-PT/Akred/PT/XI/2016;2016;9;2021-11-24;Masih berlaku
Akademi Maritim Sapta Samudra;C;653/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Akademi Maritim Yogyakarta;B;1298/SK/BAN-PT/Ak-SURV/PT/XII/2015;2015;5;2020-09-19;Masih berlaku
Akademi Militer Magelang;B;642/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-27;Masih berlaku
Akademi Pariwisata dan Perhotelan Ganesha;C;292/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Akademi Pariwisata Indonesia;C;245/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Akademi Pariwisata Medan;C;3154/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Pariwisata Muhammadiyah Aceh;C;419/SK/BAN-PT/Akred/PT/V/2015;2015;13;2020-05-15;Masih berlaku
Akademi Pariwisata Nasional Banjarmasin;C;627/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-27;Masih berlaku
Akademi Pariwisata Nasional Jakarta;C;246/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Akademi Pekerjaan Sosial;C;0385/SK/BAN-PT/Akred/PT/I/2017;2017;8;2022-01-26;Masih berlaku
Akademi Perekam dan Informasi Kesehatan Iris;C;677/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Akademi Perekam Medis dan Informasi Kesehatan Widya Dharma;C;0040/SK/BAN-PT/Akred/PT/I/2016;2016;2;2021-01-29;Masih berlaku
Akademi Perpajakan Tridarma Lampung;B;3109/SK/BAN-PT/Akred/PT/XII/2016;2016;2;2021-12-27;Masih berlaku
Akademi Peternakan Karanganyar;C;1648/SK/BAN-PT/Akred/PT/VIII/2016;2016;6;2021-08-26;Masih berlaku
Akademi Refraksi Optisi Binalita Sudama;B;0044/SK/BAN-PT/Akred/PT/I/2016;2016;1;2021-01-29;Masih berlaku
Akademi Refraksi Optisi YLPTK SB;C;296/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-18;Masih berlaku
Akademi Sekretari dan Manajemen Don Bosco;C;569/SK/BAN-PT/Akred/PT/VI/2015;2015;3;2020-06-22;Masih berlaku
Akademi Sekretari dan Manajemen Indonesia Airlangga Balikpapan;C;346/SK/BAN-PT/Akred/PT/VIII/2014;2014;11;2019-08-30;Masih berlaku
Akademi Sekretari Widya Mandala Surabaya;C;563/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Akademi Sekretaris dan Manajemen Persada Bunda;C;671/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Akademi Sekretaris Manajemen Indonesia Citra Nusantara;C;273/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-18;Masih berlaku
Akademi Teknik dan Keselamatan Penerbangan Medan;B;2647/SK/BAN-PT/Akred/PT/XI/2016;2016;1;2021-11-24;Masih berlaku
Akademi Teknik Elektromedik Muhammadiyah Makassar;C;820/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-07;Masih berlaku
Akademi Teknik Indonesia Cut Meutia;C;982/SK/BAN-PT/Akred/PT/IX/2015;2015;1;2020-09-03;Masih berlaku
Akademi Teknik Radiodiagnostik dan Radioterapi Muhammadiyah Makassar;C;487/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Akademi Teknik Tirta Wiyata;C;414/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-15;Masih berlaku
Institut Agama Islam Al Muslim Bireuen;C;2946/SK/BAN-PT/Akred/PT/XII/2016;2016;13;2021-12-01;Masih berlaku
